contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
couleur }	15	1	0	quelle
la bleue	2	0	0	tout+à+l'heure
cette fenêtre	1	0	1	v
ça suffit	2	1	1	non
le perroquet	1	0	1	n
trouve sa	1	1	0	je
là dans	6	1	5	v
ils boivent	1	0	0	n
de quoi	4	3	0	n
qu'e tu	1	0	1	
bébé chenille	1	0	0	un
cette après+midi	2	1	1	v
les cheveux	3	0	3	v
peut+être mettre	1	0	0	v
s' asseoir	4	0	0	pas
de gesticuler	1	0	1	n
qui est	25	13	1	n
bien voulu	1	0	0	v
d'hibiscus }	1	1	0	
nids }	1	0	0	
classiques }	1	0	0	mes
derrière oui	1	1	0	v
là vous	1	0	0	n
je pense	3	3	0	non
avec nous	2	1	1	Pie
plâtres avec	1	0	0	
regarder dans	1	0	0	te
faire de	1	0	0	v
rêvent au	2	2	0	
comme Mar	1	0	1	v
le carton	1	0	1	sur
non il	1	0	0	ben
malade hein	1	0	0	v
de t'	1	0	0	n
toujours ses	1	0	1	v
toute essaie	1	0	1	v
mais }	13	6	4	v
poussins jouent	1	0	0	six
les valises	1	0	1	v
permis hein	1	0	0	
là dedans	2	2	0	v
et messieurs	2	2	0	n
est toujours	1	1	0	c'
de là+haut	1	0	0	n
pour réparer	1	1	0	cette
à papy	1	0	1	v
manger ce	1	1	0	à
faire }	6	0	2	v
d' Ana	1	1	0	n
aller chercher	2	0	0	v
avec la	13	6	6	v
s' appelle	2	1	0	ça
pleines de	1	1	0	n
une couette	1	0	0	v
une couche	1	0	1	a
t' auras	1	1	0	tu
les guirlandes	1	0	0	toutes
faire d'	1	0	0	v
la rattraper	1	0	0	v
tout seul	16	4	9	v
avait amenée	1	0	0	y
les bonnes	1	0	0	v
ans que	1	0	0	deux
du poisson	3	0	3	au+dessus
la première	1	0	1	est
aussi dessus	1	0	1	v
une touffe	1	0	0	v
a changé	1	1	0	il
lui mettre	1	0	0	v
où ta	1	0	0	est
sept huit	1	0	0	six
comme tu	2	2	0	v
en choisr	1	0	0	y
plus l'	1	0	1	v
je pose	1	0	1	ben
hein bien	1	0	0	n
le biberon	6	0	5	v
hein il	1	1	0	n
la flêche	1	0	1	v
aussi sur	2	1	1	v
les poireaux	1	0	1	v
pas se	1	0	0	v
Lapin }	1	0	0	Pierre
s' amuse	1	0	0	Thé
construire }	1	0	0	à
au grillon	1	1	0	v
il pleut	1	0	0	là
à acheter	1	0	1	rien
faut des	2	2	0	il
les escargots	2	0	2	v
la chaise	1	0	0	est
en tout	1	1	0	n
les légumes	1	0	1	v
tout je	1	0	1	v
contre ma	1	0	1	par
les bananes	1	0	1	v
ci }	4	1	1	v
avant }	2	1	1	v
jusqu' à	1	0	1	v
histoire }	1	0	1	l'
de métal	1	1	0	n
mon premier	1	0	0	v
ce qu'	10	1	6	v
ça tient	3	2	0	oh
de Lea	1	1	0	n
le bourdon	1	0	0	v
on fera	1	1	0	qu'
travailler hein	1	0	1	v
ta chambre	2	0	2	dans
d' or	1	1	0	n
rouges et	1	1	0	n
faites hein	1	0	0	vous
mettre le	2	0	0	v
pas aussi	1	0	0	est
ça sort	1	0	0	comme
maman vache	2	0	2	v
hein que	2	0	1	rien
bébé et	1	0	1	euh
qui prépare	1	1	0	n
au+fait }	1	1	0	
où }	7	0	6	est
poule }	1	1	0	de
des chaussettes	1	0	1	as
puis ouvrait	1	1	0	et
du bazard	1	1	0	v
en forme	4	3	0	n
tout chaud	1	1	0	v
souris là	1	0	0	une
propre }	1	1	0	très
flamands roses	1	0	0	six
un jus	1	0	1	est
ça hein	17	4	3	pas
coquette a	1	1	0	n
bavoir }	1	1	0	le
à enlever	1	0	1	v
drôle d'	1	0	0	une
être contentes	1	0	0	v
mémo }	2	0	2	de
avec tout	2	0	2	là
Amé }	2	1	1	pour
jours la	1	0	0	trois
mieux laquelle	1	0	1	v
maintenant c'	1	0	1	puis
mami des	1	0	1	et
rousse apporte	1	1	0	
Bulle }	3	0	0	Tite
dans ses	1	0	1	a
au lit	1	0	1	mis
partent en	1	0	0	qui
là }	318	179	94	n
mon yaourt	1	0	1	v
que l'	2	1	1	ce
pas son	1	0	1	v
de musique	3	3	0	n
qui conduit	1	0	0	celui
le petit	5	3	1	v
le camion	1	0	0	v
toi dans	1	1	0	est
ouais }	6	3	2	tu
morphologique }	1	1	0	
un verre	2	0	2	v
tu mets	1	1	0	v
ton pantalon	1	0	1	est
du ciel	1	0	1	v
assiettes }	1	0	0	des
le gâteau	4	0	4	v
trop petit	1	0	0	est
bottes maintenant	1	0	0	les
comme il	3	1	1	v
beau picou	1	0	0	est
celle+là oui	1	0	0	v
nez de	1	1	0	le
main tu	1	0	0	la
très }	2	2	0	v
oeuf Mar	1	0	0	un
câlins }	1	1	0	des
allez }	3	1	2	bon
la réponse	1	0	1	est
des des	1	1	0	sont
marcher cette	1	0	0	v
tout }	9	0	9	v
comme comme	1	0	1	v
de lettres	1	0	1	pas
tableaux }	1	0	0	
les hélicoptères	1	0	1	v
très en	2	1	0	pas
vʁumvʁum }	1	0	1	
de ouistiti	1	1	0	n
aussi non	2	1	1	v
sans que	1	0	0	euh
en argent	2	2	0	y
quatre crocodiles	1	1	0	trois
petite soeur	1	0	0	sa
parce+que déjà	1	1	0	n
avec les	9	2	5	v
l' imperméable	2	0	2	sur
dire de	1	0	0	lui
qu' Océane	1	1	0	v
du crochet	1	1	0	v
blanc }	1	1	0	tout
à Tim	1	1	0	v
aussi qui	2	2	0	n
comme Oce	1	1	0	v
l' étiquette	2	0	2	v
oh }	2	2	0	oh
son image	1	0	1	v
rouge aussi	1	1	0	est
toutes }	1	0	1	sont
retourner là+bas	1	0	0	v
pas il	2	1	1	n
plus ça	1	0	1	puis
en Corée	1	1	0	y
état }	1	1	0	un
les couches	1	0	1	v
qui embêtent	1	1	0	n
intéressé ce	1	1	0	était
ça recule	1	0	0	comme
de défaire	1	0	1	n
contente de	1	0	0	pas
en bas	1	0	1	v
aux escargots	1	1	0	n
de ville	1	0	0	n
de manger	5	1	2	en+train
pas dire	1	0	0	v
toi et	1	1	0	pour
fondre la	1	0	0	v
des cauchemards	1	0	0	v
faire la	2	0	0	v
différentes }	1	1	0	y+a
et sourit	1	1	0	n
voir le	1	0	1	v
à partir	1	0	1	v
des duplo	1	0	1	v
image y+a	1	0	0	l'
un système	1	0	1	v
le fil	1	0	1	v
de léa	1	1	0	n
un mouton	1	0	0	v
âge Nat	1	0	0	quel
aussi elle	2	1	0	n
ça }	155	78	44	v
tu retournes	1	0	0	sinon
il plonge	1	1	0	qu'est+ce+qu'
et pis	1	1	0	n
ça se	2	2	0	que
par+ce que	1	0	1	content
pas l'	2	0	2	v
l' araignée	1	1	0	v
parler elle	1	0	1	v
gratte la	1	1	0	il
Bruit rendit	1	0	0	Monsieur
hein celui+ci	1	0	1	n
depuis des	1	1	0	n
du sapin	2	1	0	v
soir j'	1	0	0	hier
de dessiner	1	0	1	en+train
animaux }	3	0	0	les
un coin	1	1	0	est
on met	3	2	1	qu'
en Corse	2	0	2	y
une semaine	1	1	0	v
avec une	3	1	2	v
de partir	2	2	0	content
les clous	1	0	1	v
des voitures	1	0	1	a
les pages	1	0	1	v
heure }	1	0	0	cette
qui pend	1	1	0	n
qu'est+ce+que c'	1	0	0	là
histoire Pie	1	0	0	une
peut+être tu	1	0	1	oui
souvent }	2	0	2	v
est catastrophique	1	1	0	c'
il serait	1	0	0	celui+là
la bouche	3	1	2	dans
de fruit	1	1	0	n
faim à	1	0	1	a
qui a	7	5	0	n
le fromage	1	0	0	n
un dessin	1	0	0	devant
tes chaussettes	1	0	0	v
plus loin	1	0	0	le
hein dans	2	1	0	n
parce+que je	2	0	1	v
plantes là	1	0	0	les
six }	2	0	0	as
nous }	1	0	0	tu
Val c'	1	1	0	à
carte }	1	0	0	une
toi il	1	0	1	est
aussi des	2	0	2	v
surprise }	1	0	0	une
bécher arroser	1	0	1	
de reinette	1	1	0	n
euh l'	3	1	2	v
dire que	1	0	0	v
se changer	1	0	1	ça
Casimir }	1	1	0	à
peur peur	1	0	1	a
en vert	1	1	0	pas
en orange	1	0	1	est
aussi une	1	0	1	v
ça te	2	1	0	ah
crier }	1	0	1	de
maman super	1	0	0	est
encore celui+ci	1	0	1	v
a commence	1	1	0	en
voir au	1	0	0	v
le hibou	1	0	1	v
sur l'	12	4	6	v
donner à	2	0	0	lui
l' échographie	1	0	0	v
sur son	2	0	2	v
il se	1	1	0	qu'est+ce+qu'
habite t'	1	0	0	Mimi
une tomate	1	1	0	v
non mais	2	1	1	mais
le château	1	0	1	v
euh je	3	2	0	ben
s'affèrent les	1	1	0	
et s'	3	1	0	v
lui }	6	5	0	v
toute propre	1	1	0	v
aux fraises	1	1	0	n
en marche	1	0	1	y
de téléphoner	1	0	1	n
à peine	1	0	1	as
tu parlais	1	1	0	que
du four	1	1	0	v
la fraise	3	0	3	v
pas dans	1	0	1	est
sort de	1	1	0	il
aller loin	1	0	0	v
que toi	3	1	0	n
retourné }	1	1	0	
doudou }	3	2	1	un
le ballon	1	0	1	autorisé
hein ces	2	0	0	n
au de	1	1	0	v
soir ça	1	0	0	hier
du cirque	1	1	0	n
trouver un	1	0	0	v
le chercher	3	0	1	v
une brute	1	0	0	es
là en+face	1	1	0	n
une jambe	1	1	0	v
euh une	1	0	0	pour
touché au	1	1	0	
animal }	3	0	0	quel
de verres	1	0	0	n
superbe }	1	1	0	
tout avec	1	0	1	v
le jour	1	0	1	hein
de ranger	1	0	1	en+train
les boîtes	1	0	1	dans
il a	16	9	0	qu'est+ce+qu'
Spot qu'	1	0	0	pas
le puzzle	2	0	2	v
pas des	2	0	2	est
coincé mais	1	0	0	est
serviettes comme	1	0	0	
là c'	4	2	1	et
les caravanes	1	1	0	v
venir manger	1	0	0	v
toi dis+donc	1	1	0	est
ces images	1	0	0	toutes
tout de	2	2	0	n
j' aime	1	0	1	Mar
regarde qui	1	1	0	vert
de pompier	2	2	0	n
tombées }	1	0	0	sont
toute joyeuse	1	0	1	v
voyage fantastique	1	0	0	
et fruits	1	1	0	n
de morceau	1	1	0	n
elles vont	1	0	0	là
à dire	3	1	1	pas
à madame	1	1	0	v
geste hein	1	0	0	bon
qui gratte	1	1	0	n
possible oui	1	0	0	est
ce bébé	2	2	0	de
sages sinon	1	0	0	bien
ça cet	1	0	1	v
qui on	1	0	0	là
aux animaux	1	0	1	v
que Dad	1	1	0	v
plus on	1	0	1	en
du tout	1	0	1	pas
le lait	1	0	1	v
à ces	1	0	1	n
votre bébé	1	0	1	dans
tout+de+suite dedans	1	0	1	v
le revisser	1	0	0	v
le chou	1	0	1	v
ou c'	2	2	0	bien
plutôt quand	1	0	0	v
moi avec	1	0	1	est
je mangerais	1	1	0	moi
puisqu' il	1	1	0	dedans
aventures }	1	0	0	
on appuie	1	0	0	quand
hein parce+que	6	5	1	n
remarque }	1	1	0	hein
regarder les	2	2	0	v
en ce	3	1	1	n
et en	2	2	0	n
ou quelqu'un	1	1	0	n
avec crêpe	1	1	0	v
le café	4	1	3	parce+que
cartes avec	1	0	0	de
a ri	2	2	0	en
beaucoup hein	3	0	3	a
pas debout	1	0	1	v
petite assiette	1	0	0	une
de grenadine	1	1	0	n
à regarder	1	1	0	v
temps }	3	0	0	le
de plat	1	0	0	dessous
brun ça	1	1	0	n
là parce+qu'	1	1	0	n
boum }	1	0	0	le
d' abeilles	1	1	0	beaucoup
longtemps que	2	0	0	v
le même	2	0	1	est
la place	2	0	2	de
bien quand	2	0	1	pas
rouge }	14	13	0	est
après }	19	6	12	v
alors sur	1	0	1	et
ben regarde	1	1	0	et
dernier aussi	1	1	0	le
ça par+ce	1	0	1	comme
du bouchon	1	1	0	v
trouver de	1	0	0	v
pour maman	3	3	0	est
pouf }	1	1	0	
Dès }	1	0	0	
toi comme	2	0	2	est
les autres	2	0	1	sur
de fil	1	1	0	n
demander à	1	0	0	v
euh des	1	0	1	magique
pile+poil aïe	1	0	1	
ce youpala	1	0	0	v
du monde	3	1	2	y+a
tout autant	1	0	1	v
quilles regarde	1	0	0	aux
cherche bien	1	1	0	je
manquer d'	1	0	0	v
demande des	1	1	0	n
bien dans	1	0	1	v
allé }	1	0	0	es
taille }	1	0	0	grande
vert }	3	3	0	du
le crawl	1	0	1	v
vient le	1	0	0	il
avant avec	1	0	1	v
pour boire	2	1	1	n
alors si	2	1	1	bah
à papa	1	1	0	n
souffler hein	1	0	0	bien
qu'est+ce+que j'	1	0	0	éh
jouer }	1	0	0	v
écartées }	1	1	0	
et son	1	0	0	n
quelqu'un }	2	0	2	y+a
et ils	1	1	0	là
longs tes	1	0	0	de
avec papi	1	1	0	n
avec tes	2	0	2	v
t' asseoir	1	0	0	v
la patience	1	1	0	v
et tes	1	1	0	n
de construire	2	0	2	n
les enfants	1	0	1	donc
de Tim	7	7	0	n
de ceinture	1	0	1	n
affaires là	1	0	0	les
ouais mais	2	1	1	et
pour Aba	1	0	0	est
mon cadeau	1	0	1	v
ici hein	2	1	0	pas
en te	1	0	0	tout+de+suite
à Val	2	1	1	v
effrénée }	1	1	0	
Popi }	2	2	0	alors
quand+même }	8	4	4	v
d' avant	1	1	0	n
forte et	1	0	0	plus
comme ses	1	1	0	v
il te	1	0	0	s'
oh là	1	0	1	oh
semer bécher	1	0	1	
besoin d'	1	0	0	a
de promener	1	1	0	n
avant d'	1	0	1	v
des fruits	2	1	1	bien
alors tu	1	0	1	et
la bavette	5	0	4	v
en avant	1	0	1	y
sapin }	1	0	0	le
alors on	1	0	0	ou
pareil }	2	0	2	v
de mettre	8	1	7	v
de clown	2	2	0	n
ho }	1	1	0	
de coccinelle	1	0	1	n
as tu	1	0	0	pourquoi
casser les	1	0	0	v
au front	1	1	0	v
giling giling	1	1	0	
pieds+nus }	2	1	0	v
en main	1	1	0	y
une à	2	0	2	v
de chèque	1	1	0	n
passe devant	1	0	0	se
plein }	1	1	0	v
à te	3	0	3	v
le fermer	1	0	0	de
poissons }	1	0	0	deux
regarder avec	1	0	0	v
n' ont	1	1	0	elles
jouer ici	1	0	1	v
Bavarde }	1	1	0	
tout bébé	1	1	0	v
de mouchoir	1	0	0	combien
qui répare	1	1	0	n
un grand	2	0	2	v
toutes les	8	2	4	v
idée ça	1	0	0	bonne
une chambre	1	1	0	dans
déjà un	1	0	1	a
que vous	1	1	0	v
biberon bébé	1	0	0	le
ah }	2	1	0	ah
bouche }	1	0	0	la
pendant pendant	1	1	0	v
une fusée	1	0	1	v
un garage	1	0	0	pas
oui ça	2	2	0	ah
droite }	3	3	0	à
celle+ci hein	1	1	0	v
tenir dans	1	0	0	v
ses affaires	1	0	0	toutes
un tournesol	1	0	1	est
sucettes }	1	0	0	de
le derrière	1	1	0	v
ça marche	2	0	1	que
pieds comme	1	0	0	tes
magasin madame	1	0	0	autre
bien sa	1	0	1	v
où à	2	0	0	v
la voiture	3	0	3	v
faut les	1	1	0	il
attention de	1	0	0	v
une cuillère	1	0	1	est
oiseau il	1	0	0	petit
une maison	1	0	0	v
et+puis autrement	1	1	0	as
avec ses	2	0	2	v
maintenant tu	1	0	1	alors
duplo }	1	0	0	
pas ma	1	0	1	est
truc jaune	1	0	0	un
maillots+de+bain hein	1	0	0	
pas toi	1	0	1	est
de tenir	3	0	2	n
libéré le	1	0	0	
mains }	2	0	0	les
bu }	1	0	0	as
enlever non	1	0	0	v
et Mom	1	0	0	Dad
tout jaune	1	1	0	v
pour euh	1	1	0	n
trois soeurs	1	0	0	les
regarde ce	1	0	0	on
dame }	1	0	0	cette
rester dans	1	0	1	v
je pique	3	0	1	que
de devant	1	1	0	v
à pois	1	1	0	v
bien tendre	1	1	0	v
ton bracelet	1	0	1	v
pas j'	1	0	1	v
mais y+a	1	1	0	n
fois }	6	0	0	des
du feu	1	0	1	est
quelque+chose d'	1	0	1	v
mes classiques	1	0	1	v
de canon	1	1	0	n
ça là+bas	1	0	1	comme
le bus	3	1	2	dans
a peur	1	0	0	il
ouais c'	1	0	0	ah
le papillon	1	0	1	pas
la boite	1	0	1	dans
Sopt }	1	0	1	
là qu'	7	6	0	est
sinon vous	1	0	1	n
à doudou	1	1	0	v
confortable }	1	0	0	est
vous allez	1	0	0	vous
de moi	1	1	0	n
pieds }	4	0	0	les
moi aussi	3	3	0	bah
bon mais	1	0	0	ah
quelque+chose à	1	0	1	v
un des	1	0	1	d'
deux trois	1	0	1	un
le bois	1	0	1	tu
bouts de	1	0	0	tous
demande Pinocchio	1	1	0	me
hein quand	1	0	0	magique
trop }	2	0	2	v
lui laisser	1	0	0	tu
je me	1	1	0	que
plutôt violet	1	0	0	v
de toucher	2	0	2	v
ouverte }	2	1	0	n
Mar derrière	1	1	0	v
éléphant }	2	1	0	l'
papy et	1	0	0	avait
canard mais	1	1	0	le
la paix	1	0	0	v
un vrai	1	0	0	pas
petits dauphins	2	0	0	neuf
au petit	1	0	0	n
ton biberon	1	0	0	v
des histoires	2	0	2	v
des verts	1	0	1	v
bien avec	1	0	0	v
ça aurait	1	0	0	comme
cartes }	5	0	0	deux
là toute	2	1	1	n
du phoque	1	1	0	v
et elle	4	3	0	n
il chante	2	0	0	qu'est+ce+qu'
les pièces	2	0	1	mis
d' argent	2	1	0	n
tout+de+suite en	1	0	1	v
appuie }	1	1	0	là
dans leur	2	0	1	jus+d'orange
s' est	1	1	0	il
toute dents	1	1	0	v
y avait	1	0	0	il
aussi en	1	0	1	en
quelque+chose pour	1	0	1	v
dessins+animés là	1	0	0	
le gronde	1	0	0	v
son doudou	3	0	3	v
des volailles	1	1	0	n
lui tout	1	0	1	tu
la menthe	1	0	0	à
on va	15	4	7	v
ça grésille	1	0	0	v
comme histoire	1	0	1	v
aussi là	2	0	2	v
sans rien	1	0	1	v
a ton	1	1	0	il
page }	3	0	0	cette
dessiné sur	2	2	0	as
en coin	1	1	0	y
pas non	2	1	1	v
les autocollants	1	0	1	v
du wagon	2	2	0	v
pointues }	1	1	0	
à force	1	1	0	autrement
en faisant	1	0	0	pas
oreilles en	1	1	0	les
et le	5	4	0	n
tailler la	1	0	0	
moi hein	1	1	0	chez
une pompe	1	0	1	v
pas encore	1	0	0	est
histoire tu	1	0	0	l'
vraiment là	1	1	0	v
aussi ça	2	2	0	ça
du nord	1	1	0	v
rouler sur	1	0	0	v
magique }	2	2	0	est
bien hein	5	0	5	est
en ville	1	1	0	y
se dit	1	0	1	on
petits+enfants }	1	0	0	
ils si	1	0	0	non
puis Pie	1	0	1	et
sont plus	1	1	0	ils
petits trous	2	0	0	les
avant parce	1	0	1	v
croqué dedans	1	0	0	
comme là+bas	1	1	0	v
on mange	1	1	0	non
d' autre	2	0	2	v
sont tombés	1	1	0	qui
de laine	1	1	0	n
couette }	1	0	0	petite
lila }	1	1	0	n
tout+à+l'heure oui	1	0	1	v
est }	1	0	0	c'
de cartes	1	1	0	pas
picou à	1	0	1	n
et+puis euh	1	1	0	as
à plat	1	1	0	bien
qu' y+a	3	2	0	est
papa c'	1	0	1	est
maman lapin	1	0	0	est
trois fois	1	0	1	deux
ferme }	1	0	0	on
cancanne maman	1	1	0	n
à replacer	1	1	0	v
pas on	1	0	1	n
droite la	1	1	0	à
aussi alors	1	1	0	toi
d' aide	3	3	0	n
Val }	2	0	2	à
en disant	1	0	1	y
y+a des	2	1	0	il
et bah	1	1	0	mh
pour Pie	1	1	0	est
le pouce	2	0	2	là
en+dessous il	1	1	0	n
ton lit	1	1	0	sous
toi les	1	0	1	v
poussin a	1	1	0	un
à remuer	1	0	1	v
la balle	1	1	0	v
fois peut+être	1	0	0	des
un pantalon	2	0	2	v
saute très	2	2	0	il
le doudou	5	2	3	est
ça avant	1	0	1	v
michèle ça	1	1	0	
mécaniques hein	1	1	0	
va voir	1	0	0	on
t' entends	1	1	0	je
eh oh+oh+oh+oh+oh	1	0	1	eh
que Pie	1	0	0	v
forme }	1	0	0	cette
le premier	1	0	0	v
tu la	2	1	0	v
progressivement }	1	0	0	
qui marche	1	1	0	un
bien travailler	1	0	1	v
de chien	1	1	0	n
font un	1	1	0	se
des champignons	1	1	0	v
à le	6	0	6	v
un couteau	2	1	0	avoir
à sable	1	1	0	n
Clipo }	1	0	0	
ton ardoise	1	0	1	v
simagrées }	1	0	0	
pour les	5	4	1	est
ça tout+à+l'heure	2	1	0	de
un noeud	1	0	0	v
faire son	1	0	1	v
fff }	1	1	0	oh
est+ce+que tu	1	1	0	où
et demi	2	2	0	n
de dynamite	1	0	1	n
et tourneboule	1	0	1	n
encore pour	1	0	1	v
impeccable }	1	0	0	
de piscine	1	1	0	n
papillon }	1	0	0	le
des beignets	1	1	0	v
t' en	1	0	0	tu
pourquoi pas	2	1	1	bon
il pleure	1	1	0	là
plus fort	2	0	2	est
précise j'	1	1	0	très
tout plein	1	1	0	v
eau et	1	0	0	l'
le panda	1	1	0	v
tu seras	1	0	0	quand
est en	1	0	0	il
là quand+même	1	0	0	n
Ame hein	1	0	0	v
dents }	2	0	0	aux
miaou }	1	1	0	
ton ventre	2	0	1	tout
heures }	1	0	0	sept
Farceuse }	1	0	0	
alors à	2	0	1	et
du grand	1	0	1	n
Spot là	1	0	1	pas
tomber et	1	0	0	v
oui je	2	0	0	bah
et là	2	2	0	n
à transcrire	1	0	1	intéressant
de Tom	1	1	0	n
elle disait	1	0	0	qu'
fini hein	1	0	0	as
attends }	1	1	0	mais
de lait	4	4	0	n
quelque+chose là	1	0	1	v
les gâteaux	1	0	1	ah
il marche	1	1	0	qu'
d' Amé	5	4	0	n
