contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
coûte }	1	0	0	combien
{ malin	1	1	0	
du dessus	2	2	0	n
as ta	2	0	2	v
les regarde	1	1	0	mêmes
qui pas	1	0	1	v
du est	1	1	0	n
tu celui+ci	1	0	1	v
à allongé	1	1	0	v
va déjà	1	0	1	v
la jolie	1	0	1	n
tu demander	1	0	0	v
{ a	2	1	0	il
m' ça	1	0	1	v
te une	2	0	1	v
le au	3	3	0	n
va devenir	1	0	0	v
renversé soir	1	0	0	l'
sacrément hein	1	0	0	bien
porte j'	1	0	1	de
par oui	1	1	0	là
le mhm	1	1	0	n
as une	4	1	3	v
ils libéré	1	0	0	v
il souffler	1	0	0	v
ai là	2	0	2	v
peut d'	2	0	2	v
la encore	2	2	0	v
ça avec	1	1	0	v
ce l	1	1	0	n
prends le	1	0	0	pas
on ranger	1	0	0	v
va ce	2	0	1	v
{ pour	3	2	1	alors
veux de	1	0	1	v
petit parce+que	1	1	0	n
hein que	2	1	0	parce
on plein	1	0	0	v
as avant	1	0	1	v
ben nous	1	0	1	on
caché le	2	0	0	sous
leurs }	2	2	0	n
poule }	1	1	0	hein
l' c'	3	3	0	n
ours qu'est+ce+qu'	1	0	0	brun
{ vous	3	0	0	v
trois tout	1	1	0	n
pique }	1	1	0	ça
bavoir }	1	1	0	hein
remettre }	1	0	0	le
te comme	1	0	1	v
{ oiseau	1	0	0	un
même de	2	2	0	pas
ton puis	1	1	0	n
un lui	1	1	0	n
Pierre été	1	0	0	Lapin
{ ami	1	0	0	mon
là }	18	5	0	hein
peu poubelles	1	0	0	de
la image	2	0	0	première
la faut	2	2	0	n
a pareil	1	0	1	v
un verre	1	0	0	petit
joyeux }	1	1	0	n
tu mets	1	0	0	le
a déjà	3	0	3	v
m' pas	1	0	1	v
fête Bou	1	0	0	des
va donner	1	0	0	lui
très }	30	5	1	bien
a ces	1	0	1	eu
qu' sinon	1	0	0	il
allez }	11	5	5	v
vu }	1	0	0	ça
des des	7	7	0	n
tout }	63	10	18	v
des lunettes	1	0	0	n
grandes là	1	1	0	n
vas+y }	4	1	3	v
oui à	1	1	0	mais
petit on	1	0	0	Paul
allez front	1	0	0	v
Bruit visite	1	0	1	était
est celle+là	1	0	0	pas
la Choupignon	1	1	0	n
a tout	1	0	1	pas
son Monsieur	1	0	0	n
s'il+te+plaît tu	1	0	0	hein
oh }	5	1	1	oh
cette quand+même	1	1	0	n
disais }	2	2	0	tout+à+l'heure
du avec	3	2	0	n
serait oui	1	0	0	bien
te faire	2	0	2	v
le carrément	2	2	0	n
être quand	1	0	0	v
ours cochons	1	0	0	brun
une peut+être	1	1	0	n
lui un	5	0	5	v
dans bras	5	0	0	ses
ma c'	1	1	0	n
craque }	1	1	0	n
te Tim	2	0	2	v
nouvelle }	3	3	0	n
{ donc	2	0	2	v
des y	1	1	0	ben
es }	29	2	11	v
hein Patte	1	0	0	tu
son l'	1	1	0	n
ça }	64	10	47	v
aller les	1	0	0	v
que yeux	2	0	0	tu
pas l'	4	0	2	à
ton là	6	6	0	n
va par	1	0	1	v
grande non	1	1	0	hein
crois que	1	0	0	pas
cette hein	3	3	0	n
avoir un	1	0	1	vu
quatre et	2	1	0	cinq
on que	5	0	2	v
la ou	2	2	0	n
qui boire	1	0	0	v
toi tu	2	0	0	aussi
celui }	1	0	0	là
peu euh	1	0	1	de
t' comme	2	0	2	v
heure }	1	0	0	là
te de	8	0	8	v
{ joue	1	0	0	on
ces alors	1	1	0	n
avec petits	1	0	0	les
l' près	1	0	1	n
souvent }	2	0	1	ça
bonne mon	1	1	0	n
m' mais	1	0	1	v
de dedans	1	1	0	n
{ merveilleuse	1	0	0	
aller quelque+chose	1	0	1	v
nous }	7	1	6	v
tellement }	1	0	0	de
{ index	1	1	0	l'
range les	3	0	0	le
oiseau }	2	1	1	là
es comme	1	0	0	v
une et	7	7	0	n
de allez	1	1	0	n
un en	6	6	0	n
autre en	1	1	0	n
m' d'abord	1	0	0	v
plus Tim	1	0	0	n
nouvelles là	1	1	0	de
ai quand	1	1	0	v
te hein	4	0	4	v
amener de	1	0	0	plus
va oui	1	0	1	v
avaient toutes	1	0	0	n
{ des	2	0	0	y+a
on toutes	2	0	2	v
aux regarde	1	1	0	n
un droit	1	1	0	n
fait trop	1	0	0	n
ta Mar	1	1	0	n
ta elle	2	2	0	n
ton si	1	1	0	n
l' et	2	2	0	n
petit le	1	1	0	n
petite }	37	36	1	n
est faire	1	0	0	pour
elles euh	1	0	1	sont
son une	1	1	0	n
an là	1	0	0	pour
se ce	1	1	0	dit
dans mois	1	0	0	quelques
parce+que on	1	1	0	là
la faim	1	0	0	grande
être ton	1	0	0	bizarre
on Valérie	1	0	1	v
mon loto	1	0	0	premier
une carrément	1	1	0	n
il ah	1	0	1	v
des qu'	3	3	0	n
cognée ouïe	1	1	0	un
qu'est+ce+qui }	2	1	0	v
sa derrière	1	1	0	n
te pas	15	2	12	v
veux la	2	0	2	v
c'etait }	1	1	0	
par il	1	1	0	où
une mais	1	1	0	n
j' pas	11	0	10	ai
tu ou	2	0	2	v
du du	2	2	0	n
le sécher	1	0	1	n
{ animal	1	0	0	l'
même voilà	1	1	0	n
une ligne	2	0	0	autre
elle mami	1	0	1	v
regarde qui	1	1	0	ce
alors qu'	1	0	0	maintenant
faux }	1	1	0	pour
semble forte	1	0	0	que
regarde la	2	0	0	par
du puisqu'	1	1	0	n
et dessus	1	0	1	puis
ton anniversaire	2	2	0	n
une les	3	3	0	pour
du tout	2	0	1	n
est hein	41	2	2	dur
de sur	6	2	4	n
moi oui	1	0	0	je
s' aussi	1	0	1	v
lui plus	1	0	1	non
plus fff	1	1	0	n
ses comme	1	1	0	n
tu toutes	1	0	1	v
à page	1	0	0	cette
a hein	3	0	3	beaucoup
chez hein	1	0	0	Pinder
les toutes	6	4	1	v
lui son	3	1	2	v
pas debout	1	0	1	v
petit ce	1	1	0	n
{ klapklapklap	1	0	0	
deuxième }	6	6	0	n
ça regarde	1	0	1	là
non c'	2	0	1	ça
l' vole	1	1	0	n
la non	3	3	0	n
après }	1	0	0	hein
dois les	1	0	0	je
lu de	1	1	0	celui+là
est là+dedans	1	0	0	pas
peu du	1	0	0	de
l' tout+à+l'heure	2	1	1	n
croustille }	1	1	0	
les elles	7	5	0	n
et cet	1	0	0	puis
à on	1	0	0	quoi
me manger	2	0	0	v
taille }	1	0	0	de
vert }	2	0	0	là
faut fort	2	0	2	v
vu connu	1	0	0	le
à dans	3	0	3	v
il toujours	2	0	1	a
avoir tout+le+monde	1	0	1	un
pas sinon	1	0	0	v
ils chercher	2	0	0	v
{ la	13	2	6	dans
rangé }	1	0	0	hein
son oui	3	3	0	n
a que	1	1	0	v
{ Mar	6	0	5	v
{ une	2	2	0	y+a
premier ils	1	1	0	n
petit alors	1	1	0	n
s pour	1	0	1	v
un poussin	1	0	0	petit
tu vérifier	1	0	0	v
te compte	1	0	1	v
{ Amélie	1	0	0	avec
alors on	2	0	1	qu'est+ce+qu'
tout pendant	1	0	0	v
le bzzz	1	1	0	n
bien faut	1	0	1	v
l' Mar	3	1	2	n
{ m'	1	0	0	tu
pris }	1	0	0	tout+à+l'heure
est on	3	0	1	qu'
la après	3	2	1	n
alors Casimir	1	0	0	tu
air et	1	1	0	content
pas réveillés	1	0	0	v
met le	1	0	0	dans
premier je	1	0	0	n
va aller	1	0	0	pas
est d'abord	1	0	0	pas
te oui	1	0	1	v
quatres que	1	1	0	n
il derrière	1	0	1	est
du que	1	1	0	n
même celle+ci	1	1	0	n
belle hein	1	1	0	n
autres là	3	2	0	sont
de côté	2	0	0	ce
perdu cartes	1	0	0	aux
quatre cinq	1	1	0	n
étaient }	2	0	1	v
ah }	6	2	2	oui
ah il	1	0	0	oui
la la	6	4	2	la
plus il	2	0	0	où
grandes et	1	1	0	n
bleu aussi	1	0	0	c'
lui une	3	0	3	v
pyjama }	1	0	0	hein
par tu	3	2	0	là
t' mai	1	0	1	v
une maison	1	0	0	petite
as déjà	1	1	0	v
mare crocodiles	1	0	0	aux
la sèche+cheveux	2	2	0	n
peu quand	2	2	0	gros
les il	6	6	0	n
ça pas	16	2	11	v
j' voir	1	0	1	ai
ils avec	1	0	1	v
vas nous	1	0	1	pouvoir
lait comme	1	1	0	aussi
tu trop	3	0	3	es
pas d'ailleurs	1	0	1	fleur+de+miel
trop c'	1	0	0	petit
{ qui	5	1	1	oh
histoire passera	1	0	1	de
avec mains	1	0	0	les
des partout	1	1	0	n
les canards	1	1	0	petits
qui faim	1	0	1	ont
ses se	2	2	0	n
était hein	3	1	0	bon
très ça	1	0	0	bon
au on	1	1	0	n
pas lapin	1	1	0	de
a peur	3	0	0	eu
qui s'	1	0	0	v
n' quel	1	0	1	v
a toute	1	0	1	v
de moi	1	1	0	n
de partent	1	0	0	n
poule la	1	0	1	v
parles que	1	1	0	de
tout comme	2	0	2	nu
tu plus	6	1	3	v
ce ça	1	0	1	que
n' plus	2	0	2	v
je des	2	0	0	v
du sans	1	1	0	n
on beaucoup	1	0	1	a
sauf et	1	0	0	qu'
est euh	1	0	0	pour
a s'	1	0	1	v
carte }	1	0	0	hein
quinze la	1	1	0	n
t' un	5	0	5	v
ils huit	1	0	0	v
en ah	1	1	0	v
la ça	11	10	0	n
petites comme	2	2	0	n
des justement	1	1	0	n
beau }	9	9	0	n
te ou	1	0	1	v
est maintenant	1	0	0	beau
es un	2	0	1	v
page }	3	2	0	là
est gentil	1	0	0	pas
nouveau ça	1	1	0	n
viens genoux	1	0	0	v
l' de	15	13	2	n
trouvais ma	1	0	0	
et le	3	1	2	tu
pourrais à	2	0	2	v
{ Amé	1	0	1	et
pouce }	1	1	0	aussi
me dans	1	0	1	v
ton là+bas	1	1	0	n
tu deux	1	0	1	as
bien hein	4	2	2	v
a besoin	1	0	0	pas
tellement tes	1	0	0	de
il là	2	0	2	est
aller quatre	1	0	0	v
je mes	1	0	1	v
son Croco	1	0	0	n
mal yeux	1	0	0	à
soeur elle	1	0	0	là+dessous
un qui	17	16	0	n
est }	277	31	110	ça
le la+dedans	1	0	0	n
la oui	6	6	0	n
va autre	1	0	1	v
tout elle	1	1	0	près
les jaunes	2	2	0	n
va que	1	0	1	v
un tiens	2	2	0	n
la tu	8	7	1	n
gros là	1	1	0	n
laissé bagages	1	0	0	v
un avec	6	6	0	n
se du	1	0	1	v
il proprement	1	0	1	v
faire dans	3	1	2	n
vas Pie	1	0	1	v
non non	1	0	0	non
tasse }	1	0	0	rouge
est+ce+qui les	1	0	1	v
gâteau pommes	1	0	0	au
petit tu	1	0	0	papa
ton c'	1	1	0	n
chaude }	1	0	0	il
toutes et	1	0	1	les
petit temps	1	1	0	n
le les	3	3	0	n
demandé hein	1	0	0	combien
j' le	3	0	3	ai
l' alors	2	1	1	n
la elle	22	22	0	n
peut+être encore	1	0	1	pas
me ici	2	0	2	v
oui un	1	0	1	y+a
étaient tombées	1	0	0	dans
couper gazon	1	0	0	le
as comme	2	0	2	v
avec fesses	1	0	0	les
six que	1	1	0	n
le et	13	11	1	n
vas alors	1	0	1	v
remuer le	1	0	0	mon
dû dans	1	0	1	v
as d'ailleurs	1	1	0	v
un au	8	8	0	n
des choses	2	0	0	belles
mais le	2	0	0	on
ta toi	1	1	0	n
on pour	2	0	2	v
il là+bas	1	0	1	est
sont }	23	2	8	v
elle te	1	0	0	v
de hein	11	11	0	n
{ voyage	1	0	0	bon
des aussi	8	8	0	n
miaou }	1	1	0	non
es mais	1	0	0	v
y encore	1	0	1	a
la des	7	6	1	n
pas pieds	1	0	0	tes
des à	8	8	0	n
{ faire	2	0	0	pour
attends }	2	0	1	Tim
veux du	1	0	1	v
ça deux	1	0	0	v
les mécaniques	1	1	0	n
toujours les	1	0	1	pas
du j'	1	1	0	n
soit }	1	0	1	là
pour après	1	0	1	v
ça pareil	1	0	1	v
tu y	1	0	0	v
chat des	1	0	1	v
les pleines	1	1	0	n
vont }	4	0	4	v
faut }	17	0	17	v
sa comme	1	1	0	n
suis les	1	0	1	pas
{ surprise	1	0	0	une
ça pour	4	0	4	v
si Hector	1	1	0	n
le regarde	4	4	0	n
la quelle	1	1	0	n
{ sous	1	0	0	v
et d'	2	2	0	n
du sur	2	2	0	n
chercher }	2	0	0	quelque+chose
avec soeurs	1	0	0	les
on c'	1	0	1	v
mains sales	2	0	0	toutes
gens c'	1	0	1	qui
toi encore	1	0	0	tu
maman elle	2	2	0	qu'est+ce+qu'
un violet	1	1	0	n
un gastronomique	1	1	0	n
alors veux	1	0	0	tu
une mandarine	1	0	0	n
{ petits	2	0	0	les
déjà alors	1	0	1	v
on pu	1	0	0	aurait
me faim	1	0	1	v
je hein	1	0	1	v
des filles	1	0	0	petites
viens moi	2	2	0	avec
au ils	1	1	0	n
se Tim	1	0	1	v
avait quoi	1	1	0	aussi
tout hein	3	0	2	v
quel jaune	1	1	0	n
du le	4	3	1	n
dirais que	1	0	0	plutôt
la que	3	3	0	n
petits en	1	1	0	n
la hein	12	10	0	n
pas lunettes	1	0	0	les
le noir	1	1	0	n
en peut+être	1	0	1	a
a ses	3	0	3	dans
ça joli	1	0	0	v
têtu petites	1	0	0	
appuyer hein	2	0	0	sur
des maman	1	1	0	n
un hein	11	11	0	n
d' celle+là	1	0	0	n
des que	2	2	0	n
tu vite	2	0	2	v
est plutôt	1	0	0	pas
{ poire	2	1	1	une
un bébé	1	0	0	petit
le ho	1	1	0	n
coin coin	7	7	0	n
la super	1	1	0	n
m' une	1	0	1	v
faire quand+même	1	0	1	doucement
dire pour	1	0	0	ça
le cette	2	1	1	n
tes de	2	2	0	n
t' euh	1	0	1	es
avais Tim	1	1	0	v
grande }	6	5	0	n
tu regarder	1	0	1	v
même celui	1	0	1	n
trucs qui	1	0	0	au
à maintenant	1	0	0	maman
longs lui	1	1	0	là
ça dans	3	0	3	v
il après	1	0	1	v
méchant n+toto	1	0	1	n
{ jacques	2	2	0	n
avais au	1	0	1	v
pour plûtot	1	0	1	v
chez Mic	1	1	0	n
vexes je	1	0	0	
on les	11	0	10	v
dit non	1	0	0	que
te Tigrou	1	0	0	v
a ce	1	0	1	v
jouez }	1	0	0	
jeu hein	1	1	0	ça
faire sous	1	0	1	un
est Bulle	1	0	0	Tite
fort }	1	0	0	hein
bientôt de	1	0	1	v
neuf dix	1	1	0	et
un tu	4	4	0	n
lequel }	1	0	0	celui+là
en ça	2	1	1	v
des du	1	1	0	n
la d'accord	2	2	0	n
le puis	4	3	1	n
il qu'	4	0	1	v
en se	1	1	0	v
pas alors	1	1	0	ça
du toute	1	1	0	n
euh son	1	0	1	sur
enfant }	1	0	1	aussi
de Val	1	1	0	n
a la	3	0	2	v
fait à	1	0	1	v
de un	4	0	4	v
t' les	1	0	1	v
celui+là il	1	0	0	qu'est+ce+qu'
petit qui	6	6	0	n
y+a joyeux	1	0	1	des
m' là	1	0	1	v
est déjà	1	0	1	v
apprécient hein	1	0	0	
pas mais	2	0	1	v
même parler	1	1	0	n
pas je	1	0	0	que
suis }	8	1	6	v
feu le	1	0	0	d'
Noël dit	1	0	1	celles+là
les eux	1	1	0	n
as la	3	0	3	v
un si	1	1	0	n
faire non	1	0	1	là
vous bien	1	0	1	v
alors }	4	0	3	v
enlevé }	1	0	0	là
t' toi	1	0	1	v
au des	5	5	0	dessus
autre pour	2	2	0	n
une comme	2	2	0	n
nous les	1	1	0	v
dangereux le	1	0	1	le
un rose	1	1	0	n
ah idée	1	0	0	oui
sa la	2	2	0	n
les tout+à+l'heure	2	0	2	n
vais de	4	0	4	v
en que	3	1	2	v
me chouette	1	0	1	v
y quoi	1	0	1	est
de au	1	0	1	n
l' je	2	2	0	n
à alors	1	0	1	qui
as hier	2	0	2	v
nous quelque+chose	1	0	1	v
faut ah	1	0	1	v
yaourt fraises	1	0	0	de
fatiguée }	1	0	0	après
du elle	1	1	0	n
de d'hibiscus	1	1	0	n
se oui	2	0	2	v
une hein	12	12	0	n
pas quand	1	0	0	bien
tu avant	1	0	1	v
a terminé	1	0	0	pas
est sous	4	0	4	v
y+a mémo	1	0	1	des
je si	1	0	1	n
fait un	1	0	1	pas
on d'abord	1	0	1	v
se plus	1	0	1	v
elle mais	1	0	1	dit
veux une	2	0	2	v
appelle Glouton	1	0	0	ça
se aussitôt	1	0	1	v
du pour	2	2	0	n
la pile	1	0	0	n
{ moi	15	1	13	v
connais }	4	0	0	pas
ourse apporte	1	1	0	
couleur }	2	2	0	là
ce couteau	1	0	0	n
bouger là	1	0	0	soit
cet là	2	2	0	n
plus après	1	0	1	propre
tu à	27	4	23	v
attend ton	2	1	1	je
te comment	4	0	4	v
pardon moi	1	0	1	v
pas normalement	1	0	1	v
éclairé }	1	0	0	là
bonjour Tim	1	1	0	n
veux alors	1	0	1	v
noyau dans	1	0	0	là
guili guili	3	3	0	n
dans état	1	0	0	un
boule }	2	0	0	bleue
moitié sur	1	0	1	de
le faut	1	1	0	n
pas d'	4	3	1	n
je rien	1	0	1	v
tu une	2	0	2	v
grand avec	1	1	0	n
autre peut+être	1	1	0	n
bien confortable	1	0	0	v
ramassé les	1	0	0	toutes
assez et	1	0	0	de
l' verte	1	1	0	n
les modèles	1	0	0	n
veut voir	1	0	0	nous
long et	1	1	0	de
lui quelque+chose	2	0	2	v
pas tu	2	0	0	que
à d'accord	1	0	0	n
ça en	3	0	3	v
vendu poteries	1	0	0	
ta woup	1	1	0	n
le maintenant	3	3	0	n
veux tout	1	0	1	v
être mais	1	1	0	contente
du ce	1	1	0	n
appareil il	1	1	0	là
connaît }	1	0	0	pas
petit là+bas	1	1	0	n
{ forme	1	0	0	en
il parfois	1	0	1	v
{ ils	1	0	0	qu'est+ce+qu'
s tailler	1	0	0	v
une s'il+vous+plaît	2	2	0	n
faut mon	1	0	1	v
sa là	3	3	0	n
avait et	2	2	0	n
une histoire	1	1	0	autre
m' de	1	0	1	v
tu maintenant	2	0	2	v
se facilement	1	0	1	v
tombées pis	1	0	0	mais
en seulement	1	1	0	v
des un	6	6	0	n
petits hein	2	2	0	n
se où	1	0	1	v
on assis	1	0	1	v
on quand	2	0	1	v
qui à	6	0	6	v
une feuille	1	0	0	grande
le ben	1	1	0	n
et et	1	0	0	oui
t' mais	1	0	1	v
et jour	1	0	0	puis
chasse escargots	1	0	0	la
est sur	9	0	8	v
petits pour	1	1	0	n
il personne	1	0	1	v
tes dans	1	1	0	n
les vertes	1	1	0	n
vont qui	1	0	0	v
le marche	1	1	0	n
avoir maintenant	1	0	1	un
bien d'	1	1	0	v
l' grand	1	1	0	n
tu l'	3	0	3	v
jeu }	1	0	0	là
fais jusqu'	1	0	1	v
de paquets	1	0	0	n
appelle éléphant	1	0	0	ça
vous préparé	1	0	0	v
feu }	1	1	0	là
les faut	1	1	0	n
bien le	1	0	1	de
qui tout	2	0	2	est
aux Tim	1	1	0	n
mieux }	2	0	1	là
d' je	1	0	0	n
fenêtre }	1	0	1	Tim
ton de	4	4	0	n
petit lui	1	1	0	Potam
la toi	7	7	0	n
ce une	1	0	0	soit
éléphants flamands	1	0	0	il
fasse }	2	1	0	n
des feuilles	1	0	0	n
elle attention	1	0	0	v
même là	2	2	0	est
sa sa	1	1	0	n
ben alors	1	0	1	ça
ouias ouais	1	0	0	
des oreilles	5	0	0	grandes
euh Dès	1	0	0	v
lui de	5	1	4	v
on alors	2	1	1	v
sont là	2	0	1	v
dû par	1	0	1	v
sont oiseaux	1	0	0	des
du coup	1	0	0	n
est ton	2	0	0	où
et }	27	10	3	oui
te près	1	0	1	v
ce un	1	1	0	soit
ou animal	1	0	0	alors
je quand	1	0	1	v
oui mais	1	0	0	non
il wouh	1	0	1	v
Pie lui	1	1	0	qui
argent fleuri	1	1	0	n
va son	1	0	1	v
dans petite	1	0	0	la
ça quand	1	0	1	v
est+ce+qui }	1	0	1	v
pour ou	1	0	1	v
vous hein	1	0	1	v
{ quoi	2	0	2	à
sept huit	1	1	0	huit
elle là	2	0	0	est
j' en+train	2	0	0	ai
très jointe	1	0	0	bien
d' il	1	1	0	Aglaé
sa elle	2	2	0	n
tu quelqu'un	2	0	2	as
voiture }	2	1	0	là
de âge	1	0	0	n
la si	2	2	0	n
on faire	2	0	0	v
la déjà	1	1	0	n
sa euh	1	0	0	n
l' à	4	2	2	v
la giling	1	1	0	n
ce là	34	33	0	n
du mais	1	1	0	n
te deux	1	0	1	v
l' souvent	1	0	1	n
vélo les	1	0	0	de
tes dedans	1	1	0	n
ta c'	1	1	0	n
te tes	1	0	1	v
au chène	1	0	0	n
un d'	5	4	0	n
Peureux sous	1	0	1	pour
et sont	1	0	0	ils
{ on	13	0	6	qu'est+ce+qu'
la s'il+te+plaît	1	0	1	n
un carré	3	3	0	n
est là	23	6	11	pas
coup un	1	1	0	de
oui }	8	3	2	d'accord
plus mais	1	1	0	n
va celui+ci	1	0	1	v
le celui+ci	2	0	2	v
as }	72	21	43	v
très de	1	0	0	joli
mettre bottes	1	0	0	les
tout là+bas	1	0	0	par
fête }	1	0	0	ici
ah pieds	1	0	0	oui
des maillots+de+bain	1	0	0	n
les sont	8	8	0	n
son dedans	1	1	0	n
parc+que elles	1	0	0	
j' ton	1	0	1	ai
de il	2	1	0	n
{ je	8	1	0	moi
es hein	4	0	0	v
pas celle	1	0	0	v
autrement ça	1	0	0	on
je tes	3	0	3	v
avais }	7	3	4	v
veuilles }	1	0	1	
peut+être la	1	0	1	pas
rossignol }	1	0	1	
petites }	7	7	0	n
tous plâtres	1	0	0	les
jouons une	1	0	0	
avoir }	5	4	1	n
du dans	4	4	0	n
petit rouge	1	1	0	n
{ dessus	4	1	3	v
lapin }	1	0	0	dessus
même sur	1	1	0	n
pas d'accord	1	0	0	sage
au en	1	1	0	n
retrouves }	1	0	0	toutes
tant }	2	2	0	n
costume }	1	0	0	
seul eau	1	0	0	dans
te la	2	0	2	v
la avec	7	7	0	n
est celui+ci	1	0	0	pas
de qu'	3	3	0	n
s' plus	2	0	2	v
après y+a	1	0	0	il
as être	1	0	1	v
cochons singes	1	0	0	à
ça bon	5	0	5	v
va dans	1	0	1	v
les qui	11	10	0	n
en au	1	1	0	v
mimi jouer	2	0	2	a
sont mais	2	0	1	non
en en	2	2	0	y
mais pas	1	0	1	v
est contre	1	0	1	en
des petits	1	0	0	plus
lui jamais	1	0	1	v
ces manies	1	0	0	n
voilà démonstration	1	0	0	c'
a mais	1	0	0	oui
vu oreilles	1	0	0	le
Babar en	1	0	1	v
le on	9	7	1	n
ça Tim	1	0	1	v
cette bon	1	1	0	n
que y+a	1	0	0	déjà
une quand	3	3	0	corde+à+sauter
le bien	2	1	1	v
parce+qu' il	1	0	0	autrement
à tchoubidouhouhou	1	0	0	v
et toi	1	0	1	puis
de du	1	1	0	v
{ à	5	2	1	attention
regarde }	6	1	1	là
ben }	8	0	4	oui
toutes c'	1	1	0	les
va ta	1	0	0	dans
un petit	2	0	0	tout
bah le	1	1	0	v
les mm	1	1	0	n
{ faut	1	0	1	il
fanfaron dans	1	0	1	
pleure peur	1	1	0	pas
non Mar	1	0	1	mais
tu alors	3	1	2	v
partir à	1	1	0	avec
je ça	3	0	3	v
du là	5	5	0	n
ils les	4	0	2	v
les non	2	2	0	n
met dans	1	0	0	pas
bon quelque+part	1	1	0	ben
est tu	5	0	3	que
la suivante	2	2	0	n
de lui	1	1	0	n
des sorciers	2	2	0	n
me la	2	0	2	v
qui des	3	0	1	v
de Bulle	1	0	0	n
est bon	1	0	0	pas
intéresse }	1	0	0	pas
va euh	1	0	1	v
faire qui	1	0	1	un
va des	1	0	1	v
le tout+de+suite	1	1	0	n
m' des	1	0	1	v
va qu'	1	0	0	v
l' il	4	3	1	n
montagne }	2	0	0	verte
rendit à	1	0	1	
avec c'	1	0	0	ça
tu mon	1	0	0	v
as sur	1	0	1	v
oui elle	1	0	0	qu'est+ce+qu'
le dessus	3	3	0	v
